"ckId";"jId";"clicks";"landClicks";"orderValue"
"3179679950399617245";"2";"36";"com";"48.16"
"3179680384996622261";"1";"1";"others";"25.66"
"3179680384996622261";"2";"8";"com";"25.66"
"3179680677591257509";"1";"35";"com/de/others";"50.34"
"3179680677591257509";"2";"2";"com";"33.51"
"3179681637633898413";"1";"37";"com/others";"36.43"
"3179681637633898413";"2";"97";"com";"29.50"
"3179681664695537829";"1";"1";"com";"15.80"
"3179681664695537829";"2";"4";"com";"21.72"
"3179683889773811805";"1";"3";"com/others";"15.80"
"3179683889773811805";"2";"10";"com";"33.36"
"3179686041871201245";"1";"1";"com";"27.52"
"3179686041871201245";"2";"3";"com";"28.99"
"3179686561226687621";"1";"3";"com";"33.36"
"3179686561226687621";"2";"3";"com";"33.36"
"3179688005157794781";"1";"57";"com/de/others";"46.00"
"3179688005157794781";"2";"17";"com";"29.28"
"3179690612085490821";"1";"1";"com";"27.52"
"3179690612085490821";"2";"1";"com";"21.60"
"3179690687717193645";"1";"19";"com/de/others";"38.99"
"3179690687717193645";"2";"46";"com";"80.55"
"3179692865450162725";"1";"42";"com";"66.19"
"3179692865450162725";"2";"49";"com";"66.96"
"3179693592641814453";"1";"6";"com/others";"47.56"
"3179693592641814453";"2";"4";"com";"52.81"
"3179696445657716349";"1";"30";"com";"41.60"
"3179696445657716349";"2";"14";"com";"41.77"
"3179697429758873765";"1";"4";"com";"25.66"
"3179697429758873765";"2";"1";"com";"25.66"
"3179697676635607205";"1";"18";"com";"20.80"
"3179697676635607205";"2";"3";"com";"25.00"
"3179698650670439749";"1";"2";"com";"41.60"
"3179698650670439749";"2";"3";"com";"25.66"
"3179698711856953565";"1";"17";"com/others";"25.00"
"3179698711856953565";"2";"30";"com/others";"37.56"
"3179700720072930269";"1";"28";"com";"27.59"
"3179700720072930269";"2";"75";"com";"58.62"
"3179703519250757549";"1";"5";"com";"52.78"
"3179703519250757549";"2";"31";"com";"73.59"
"3179705390480768949";"1";"1";"com";"41.60"
"3179705390480768949";"2";"2";"com";"16.76"
"3179706396157427637";"1";"1";"com";"28.99"
"3179706396157427637";"2";"6";"com";"22.56"
"3179707468825494661";"1";"3";"com";"20.80"
"3179707468825494661";"2";"5";"com";"20.80"
"3179708853583361965";"1";"18";"com";"9.27"
"3179708853583361965";"2";"1";"com";"-6.72"
"3179710441261635197";"1";"1";"com";"20.80"
"3179710441261635197";"2";"1";"com";"28.99"
"3179712661675841629";"1";"14";"com/de";"33.69"
"3179712661675841629";"2";"30";"com";"20.80"
"3179713427153092845";"1";"5";"com/others";"22.73"
"3179713427153092845";"2";"15";"com/others";"25.17"
"3179714420213299421";"1";"16";"com";"19.41"
"3179714420213299421";"2";"20";"com";"36.16"
"3179714731212542117";"1";"5";"com/others";"20.80"
"3179714731212542117";"2";"3";"com";"20.80"
"3179716253459677421";"1";"12";"com/others";"23.51"
"3179716253459677421";"2";"52";"com";"25.54"
"3179716687888915781";"1";"10";"com/others";"22.27"
"3179716687888915781";"2";"6";"com";"62.40"
"3179720677175334525";"1";"3";"com";"17.69"
"3179720677175334525";"2";"2";"com/others";"37.59"
"3179722417861834973";"1";"6";"com/others";"34.17"
"3179722417861834973";"2";"9";"com";"41.25"
"3179724700301398181";"1";"25";"com";"16.39"
"3179724700301398181";"2";"4";"com";"20.80"
"3179725222458703797";"1";"1";"com";"41.60"
"3179725222458703797";"2";"3";"com";"36.97"
"3179726521451413741";"1";"9";"com/others";"18.91"
"3179726521451413741";"2";"26";"com";"16.60"
