ckId;jId;clicks;orderValue
341;2;1;24.16
342;1;4;33.57
342;2;3;16.76
343;1;60;15.5
343;2;41;16.6
344;1;6;74.92
344;2;5;30
345;1;1;20.8
345;2;2;23.9
346;1;3;108.36
346;2;2;21.6
347;1;3;20.8
347;2;1;36.3
348;1;12;50
348;2;2;50.17
349;1;13;54.37
349;2;22;47.93
350;1;7;81.3
350;2;16;22.27
351;1;3;83.51
351;2;1;53.11
352;1;12;11.76
352;2;1;20.66
353;1;5;48.32
353;2;1;16.6
354;1;17;40.9
354;2;12;59.09
355;1;1;31.68
355;2;1;23.9
356;1;1;21.76
356;2;1;23.91
357;1;5;28.99
357;2;5;33.2
358;1;14;57.46
358;2;38;39.86
359;1;116;60.31
359;2;1;60.31
360;1;49;41.64
360;2;35;41.6
361;1;8;21.84
361;2;15;43.67
362;1;30;28.99
362;2;193;45.17
363;1;1;20.8
363;2;1;20.8
364;1;4;83.57
364;2;2;50
365;1;3;20.8
365;2;3;20.8
366;1;5;36.35
366;2;1;22.56
367;1;10;15.88
367;2;8;23.86
368;1;5;75.11
368;2;10;41.6
369;1;1;27.52
369;2;1;20.8
370;1;9;26
370;2;1;21.6
371;1;7;112.23
371;2;1;97.55
372;1;10;52.43
372;2;15;71.24
373;1;10;20
373;2;10;15.55
374;1;3;60.93
374;2;3;46.6
375;1;18;22.56
375;2;5;48.69
376;1;5;42.19
376;2;2;45.59
377;1;1;21.6
377;2;1;20.8
378;1;6;41.65
378;2;9;64.87
379;1;2;24.16
379;2;16;47.27
380;1;4;33.06
380;2;4;16.75
381;1;3;24.24
381;2;5;59.44
382;1;11;94.15
382;2;4;39.22
383;1;7;76.77
383;2;5;80.32
384;1;4;20.8
384;2;1;25.66
385;1;66;70.45
385;2;19;90.02
386;1;3;45.97
386;2;1;27.52
387;1;11;45.59
387;2;82;49.16
388;1;13;34.36
388;2;4;54.85
389;1;1;21.6
389;2;1;21.6
390;1;8;20.8
390;2;15;70.83
391;1;3;27.52
391;2;2;74.97
392;1;32;10.5
392;2;8;23.49
393;1;3;25.66
393;2;4;20.8
394;1;1;20.8
394;2;1;16.76
395;1;45;16.39
395;2;54;25
396;1;1;43.24
396;2;1;43.24
397;1;12;25.17
397;2;34;27.57
398;1;4;31.51
398;2;8;62.42
399;1;2;22.52
399;2;10;23.11
400;1;9;62.43
400;2;1;74.76
401;1;1;20.8
401;2;2;25.66
402;1;34;50.17
402;2;34;48.86
403;1;4;22.14
403;2;2;16.76
404;1;5;29.2
404;2;4;98.32
405;1;16;49.58
405;2;31;41.76
406;1;10;28.42
406;2;25;53.14
407;1;37;30.5
407;2;18;50.34
408;1;4;28.99
408;2;5;22.73
409;1;6;37.52
409;2;1;41.6
410;1;2;28.99
410;2;2;22.56
411;1;11;82.9
411;2;9;50.02
412;1;1;50.66
412;2;1;70.81
413;1;1;27.52
413;2;1;20.8
414;1;3;27.52
414;2;1;52.52
415;1;18;57.57
415;2;5;75.54
416;1;2;66.39
416;2;1;25.18
417;1;11;29.49
417;2;8;27.17
418;1;1;41.6
418;2;1;16.76
419;1;3;16.76
419;2;2;25.54
420;1;35;58.56
420;2;3;58.56
421;1;3;65.24
421;2;13;76.48
422;1;4;25
422;2;8;43.39
423;1;3;20.8
423;2;2;54.8
424;1;17;23.11
424;2;26;25
425;1;22;31.6
425;2;96;51.86
426;1;4;24.79
426;2;6;23.74
427;1;7;28.99
427;2;17;25.17
428;1;9;59.82
428;2;25;79.45
429;1;13;22.27
429;2;4;20.59
430;1;13;54.81
430;2;21;66.5
431;1;2;51.05
431;2;1;85.53
432;1;32;28.53
432;2;9;33.2
433;1;15;66.07
433;2;12;73.67
434;1;1;20.8
434;2;3;33.04
435;1;5;68.08
435;2;1;20.59
436;1;1;60.1
436;2;1;63.2
437;1;1;20.8
437;2;2;20.8
438;1;1;89.92
438;2;1;139.51
439;1;1;20.8
439;2;1;71.13
440;1;28;31.3
440;2;9;25.17
441;1;44;48.11
441;2;15;68.36
442;1;21;60.63
442;2;5;68.28
443;1;3;20.8
443;2;12;25.5
444;1;17;62.24
444;2;8;55
445;1;2;65.51
445;2;3;58.83
446;1;14;22.27
446;2;21;66.41
447;1;6;58.65
447;2;7;47.64
448;1;4;48.11
448;2;1;28.99
449;1;3;41.6
449;2;1;48.18
450;1;7;41.67
450;2;11;70.63
451;1;9;50.08
451;2;9;36.65
452;1;3;54.01
452;2;3;54.31
453;1;2;21.6
453;2;2;25.66
454;1;8;37.19
454;2;62;30.02
455;1;3;21.6
455;2;50;44.12
456;1;9;40.51
456;2;4;33.52
457;1;3;20.8
457;2;1;42.8
458;1;9;21.6
458;2;4;20.8
459;1;9;42.93
459;2;3;43.26
460;1;3;25.17
460;2;3;78.86
461;1;2;20.99
461;2;2;20.8
462;1;1;52.48
462;2;2;27.48
463;1;2;21.6
463;2;12;42.4
464;1;13;66.02
464;2;6;41.6
465;1;7;30.92
465;2;4;35.67
466;1;2;22.56
466;2;1;20.8
467;1;2;25.17
467;2;1;22.56
468;1;9;33.52
